310,349
333,349
348,345
330,340
311,340
340,221
309,223
351,299
309,302
6480,5,118,1,118,8,118
6481,33,127,29,127,36,127
6482,62,138,58,138,65,138
6483,92,151,89,151,95,151
6484,120,163,116,163,124,163
6485,149,178,146,178,153,178
6486,178,192,174,192,181,192
6487,207,208,204,208,210,208
6488,236,225,233,225,240,225
6489,265,243,261,243,268,243
6490,292,261,289,261,295,261
6491,321,280,317,280,324,280
6492,348,300,344,300,351,300
6493,377,321,373,321,380,321
6494,398,327,394,327,401,327
6495,411,314,408,314,414,314
